Name,Company,Title/Role,Industry,Description,Location
Mel Nava,1Export,Founder,E-commerce/Trade,"Helping Filipino MSMEs expand their reach in international markets, founded 2016",Philippines
Carmina Bayombong,InvestEd,Co-founder,Edtech/Fintech,"Provides loan products for higher education using risk-control algorithm, founded 2016",Philippines
Angela Chen,Eskwelabs,Founder,Edtech,"Upskilling startup with data science programs. Study now pay later model.",Philippines
Henry Motte de la Motte,Edukasyon.ph,Founder & CEO,Edtech,"Online platform helping students with tutoring, upskilling, and college/career advice",Philippines
Tryke Gutierrez,Tier One Entertainment,Co-founder,Esports/Entertainment,"Southeast Asia's leading esports talent agency, founded 2017",Philippines
Alodia Gosiengfiao,Tier One Entertainment,Co-founder,Esports/Entertainment,"Gaming and cosplay superstar. Co-founded Tier One to revolutionize SE Asia's esports landscape.",Philippines
Brian Lim,Tier One Entertainment,Co-founder,Esports/Entertainment,"Seasoned entrepreneur who co-founded Tier One Entertainment in 2017",Philippines
Rexy Josh Dorado,Kumu,Founder,Social Media/Entertainment,"Livestreaming app with 10M+ registered users and 60M monthly views, founded 2018",Philippines
Hiyasmin Neri-Soyao,Shoppertainment Live,Co-founder & CEO,E-commerce/Entertainment,"Livestream shopping network helping brands sell products online. Features Shoppertainment Academy.",Philippines
Crystal Gonzalez,NoneAway,Co-founder,Proptech/AI,"AI-powered property platform connecting owners, seekers, and brokers. Previously launched Viber in PH, managed Honestbee & Pick-a-Roo. Raised $1.25M pre-seed in 2024.",Philippines
ER Rollan,NoneAway / GrowSari,Co-founder (NoneAway) / Co-founder & CEO (GrowSari),Proptech / B2B Platform,"NoneAway: AI-powered property listings. GrowSari: B2B platform for 1M+ sari-sari stores. GrowSari raised $45M.",Philippines
Siddhartha Kongara,GrowSari,Founder,B2B/Retail Tech,"Tech-enabled B2B platform transforming sari-sari stores into comprehensive service hubs. Raised $45M.",Pasig
Enrique Hormillo,Doon,Co-founder,Mobility/Sharing Economy,"Philippines' first fully insured peer-to-peer car-sharing platform",Philippines
Miguel Locsin,Doon,Co-founder,Mobility/Sharing Economy,"Philippines' first fully insured peer-to-peer car-sharing platform",Philippines
Robbie Antonio,Revolution Precrafted,Founder,Real Estate Tech,"Prefabricated homes and pavilions. Raised $15.4M across 2 rounds.",Makati
Marc-Olivier Caillot,Lhoopa,Co-founder,Proptech,"Leverages data analytics and AI to optimize real estate investments. Raised $80M.",Philippines
Sabrina Tan,Lhoopa,Co-founder,Proptech,"AI and data analytics for real estate investment optimization",Philippines
John Avrett,Hive Modular,Founder,Construction/Sustainability,"Sustainable pre-fabricated homes design and construction, founded April 2023",Philippines
Constantin Robertz,Locad,Co-founder & CEO,E-commerce/Logistics,"Cloud-based end-to-end logistics for e-commerce. Operations in PH, SG, TH, HK, AU. Previously MD at Zalora PH and CEO at Entrego.",Philippines
Danny Castonguay,Kalibrr,Co-founder,HR Tech/SaaS,"Recruitment platform connecting talent to companies. Revenue of $19.3M in 2024. Raised $8.3M across 8 rounds.",Makati
Paul Rivera,Kalibrr,Co-founder,HR Tech/SaaS,"Recruitment platform with jobs portal, recruitment system, employer branding and assessment services",Makati
Dexter Ligot-Gordon,Kalibrr,Co-founder,HR Tech/SaaS,"AI-powered recruitment platform for talent matching",Makati
Stephanie Sy,Thinking Machines,Founder,AI/Data Science,"Data science consultancy. Stanford grad who left Silicon Valley to start TM in PH. Expanded to Singapore and Bangkok.",Philippines
Jerome Uy,MedGrocer,Co-founder,Healthtech,"Digitally enabled corporate healthcare - online pharmacy, medicine delivery, vaccinations, teleconsultations. Serving 1M+ Filipinos annually. Founded 2016.",Philippines
Meredith Ngo,MedGrocer,Co-founder,Healthtech,"Healthcare platform providing corporate healthcare solutions",Philippines
Germaine Kaw,MedGrocer,Co-founder,Healthtech,"Healthcare platform providing corporate healthcare solutions",Philippines
Jessica de Mesa,Kindred,Co-founder,Healthtech/Femtech,"Women's healthcare - contraceptive packages, virtual consultations, fertility products. Raised $5.5M Pre-Series A.",Philippines
Abetina Valenzuela,Equilife / Pulse 63 / Kindred Health,Founder,Healthtech,"Critical care supplies for hospitals (since 2013). Pulse 63: healthcare venture studio (2021). Kindred Health: women's health venture.",Philippines
Vincent Rocha,Mylo Speech Buddy,Founder,Healthtech/AI,"Speech development application for children with speech delays and autism spectrum",Philippines
Stephanie Oller,Pure Culture,Co-founder,Beauty/Biotech,"Data science-driven skincare products that are toxin-free and locally sourced for Filipino consumers",Philippines
Alex Gentry,Pure Culture,Co-founder,Beauty/Biotech,"Data science-driven natural skincare products",Philippines
Kim Reyes-Palanca,Pure Culture,Co-founder,Beauty/Biotech,"Data science-driven natural skincare products",Philippines
Rina dela Calzada,Pure Culture,Co-founder,Beauty/Biotech,"Data science-driven natural skincare products",Philippines
Anna Meloto-Wilk,Human Nature,Co-founder,Consumer Goods/Social Enterprise,"Affordable natural personal care products made in the Philippines",Philippines
Reese Fernandez-Ruiz,Rags2Riches,Founder,Fashion/Social Enterprise,"Fashion and lifestyle brand helping artisans gain fair market access. Started in Payatas community.",Philippines
Bela Gupta D'Souza,Edamama,Co-founder,E-commerce,"Baby-focused e-commerce platform - one-stop shop for parents",Philippines
Kimberly Yao,CloudEats,Founder,Food Tech,"Cloud kitchen platform",Philippines
Amanda Cua,Backscoop,Founder & CEO,Media/Tech,"Newsletter service covering tech and startup news in Southeast Asia",Philippines
Maria Ressa,Rappler,Co-founder,Media/Tech,"Digital news platform leveraging data and social media analytics",Philippines
Nix Nolledo,Xurpas,Co-founder,Mobile Tech,"Mobile content firm - one of first tech companies in SE Asia to go public",Philippines
Angeline Tham,Angkas,Co-founder & CEO,Mobility/Transport,"Motorcycle ride-hailing app for the Philippines",Philippines
Nel Laygo,Peddlr,Founder,Retail Tech/SaaS,"Mobile POS for micro and small businesses. 250K+ downloads, 23K active users. Raised $4.3M seed. Previously at Unilever and P&G.",Philippines
Krizia Daya,MindEase PH,Founder,Mental Health/Tech,"Affordable mental health support platform for students and young workers",Philippines
Jomar Dela Cruz,AquaFarms PH,Founder,Agritech,"Aquaculture tools and analytics for coastal communities. Former overseas worker.",Philippines
Jojo Gumino,Agrabah Ventures,Co-founder,Agritech,"Connects farmers and fisherfolk to buyers directly through tech with access to loans and logistics",Philippines
Rhea See,She Loves Tech,Co-founder & CEO,Women in Tech/VC,"Annual She Loves Tech Global Startup Competition. Collectively raised $500M+ in funding for participants.",Philippines
Paulo Campos,Kaya Founders,Co-founder,Venture Capital,"Manila-based early-stage VC firm, founded 2021. Former CEO of Zalora Philippines.",Manila
Lisa Gokongwei-Cheng,Kaya Founders,Co-founder,Venture Capital,"Manila-based early-stage VC firm. Summit Media president and venture investor.",Manila
Ray Alimurung,Kaya Founders / Zero to One Fund,General Partner,Venture Capital,"Former Lazada Philippines CEO. Appointed GP of Zero to One Fund.",Manila
Raya Buensuceso,Kaya Founders,Managing Director,Venture Capital,"Employee No. 1 at Kaya Founders. Built one of the most high-profile VC firms in the country.",Manila
Stephanie Ongtenco,Tenco Capital,Founder & Manager,Venture Capital,"Corporate VC firm specializing in pre-seed to seed-stage companies in PH and SE Asia, founded 2022",Philippines
Tiffany Ongtenco,Tenco Capital,Co-founder,Venture Capital,"Early-stage corporate venture capital firm",Philippines
Jelmer Ikink,Foxmont Capital Ventures,Founding Partner,Venture Capital,"Former teaching instructor at Harvard Law School. Co-founder of MyTown.",Philippines
Kendrick Kho,Hyperparameter / Fourth Realm,Founder & General Partner,Venture Capital/AI,"Early-stage VC firm focused on AI in healthcare, manufacturing, and finance. Also founded Fourth Realm (invested in SpaceX, Expedock).",Philippines/US
Gerard Escaler,Lyrium Venture Partners,Co-founder,Venture Capital,"Early-stage venture firm in the Philippines",Philippines
Quenby Go,Manila Angel Investors Network,Executive Director,Angel Investing,"Independent community of angel investors in the Philippines",Manila
Pia Angeli Bernal,Kickstart Ventures,Executive,Venture Capital,"Corporate VC arm supporting Philippine startups",Philippines
Donn Gamboa,White Cloak Technologies,Co-founder & CEO,Software Development,"One of the Philippines' most prominent software development firms",Philippines
Artie Lopez,Brainsparks,Co-founder,Incubator/Accelerator,"Philippines' lone founder-focused startup incubator",Philippines
Rene Cuartero,AHG Lab,Founder,Venture Studio,"Startup venture studio empowering entrepreneurs and enriching ecosystems",Manila
Jay Fajardo,Ideaspace / QBO Innovation Hub,Founder/Leader,Incubator/Accelerator,"Non-profit incubator and accelerator for Filipino startups",Philippines
Leah Callon-Butler,Emfarsis,Founder,Blockchain/Consulting,"Consulting firm on socioeconomic impacts of emerging technologies. Blockchain and digital asset advocate.",Philippines
Ian Santos,IMS Learning & Consulting / Institute of Sales,Founder,Sales/Consulting,"Philippines' Top-Ranked Sales Influencer on LinkedIn",Philippines
Ibba Bernardo,Packworks,Co-founder & CMO,Packaging/Tech,"Packaging solutions for Filipino businesses",Philippines
Annaliza Laxamana,Modern Ads and Promo Inc.,Founder & CEO,Advertising,"Advertising and promotions company",Philippines
Ian Morris Yapjuangco,Nutricoach,CEO & Co-founder,Health/Nutrition,"Health and nutrition technology platform",Philippines
Paul Diaz,Rocket Digital Business Innovations,Co-founder,Digital Business,"Digital business innovation services",Philippines
Joseph De Leon,Bullet Day,Founder,Startup,"Startup venture",Philippines
Jaime González Fernández,PickUp Coffee,Founder,Food & Beverage,"Grab-and-go coffee company focused on accessibility and affordability, founded 2022",Philippines
Dado Banatao,Various (chip design companies),Founder/Technopreneur,Semiconductors/Tech,"Developed first 10-Mbit Ethernet CMOS chip and first system logic chipset for IBM PC-XT/AT. Rose from poverty to tech legend.",Philippines
Earl Martin Valencia,IdeaSpace Foundation,Co-founder,Incubator,"Non-profit incubator with PHP 500M ($12M) fund. Returned from Silicon Valley to PH.",Philippines
Martin Jose Gonzalez,Google Philippines,Various,Tech,"Esquire 2024 Trailblazer. Google executive in Philippine tech ecosystem.",Philippines
Yroen Guaya Melgar,Various,Founder,Startup,"Esquire 2024 Trailblazer and UA&P alumnus",Philippines
David Dela Paz,Various,Founder,Startup,"Esquire 2024 Trailblazer and UA&P alumnus",Philippines
